,node1,node2,weight
21282,Topic203,Topic499,3675
50448,Topic48,Topic266,3485
7404,Topic13,Topic499,3052
7273,Topic13,Topic203,2971
50378,Topic48,Topic109,2653
16146,Topic176,Topic499,2538
2778,Topic109,Topic266,2524
16029,Topic176,Topic203,2463
7260,Topic13,Topic176,2395
50525,Topic48,Topic465,1880
26609,Topic237,Topic342,1804
21212,Topic203,Topic309,1719
36803,Topic309,Topic499,1650
30428,Topic261,Topic267,1640
31016,Topic266,Topic465,1539
40732,Topic342,Topic492,1512
41503,Topic35,Topic499,1510
31010,Topic266,Topic453,1487
24006,Topic22,Topic221,1468
22525,Topic210,Topic465,1460
41382,Topic35,Topic203,1415
7325,Topic13,Topic309,1411
1247,Topic102,Topic295,1384
60193,Topic9,Topic22,1371
6841,Topic127,Topic465,1367
53487,Topic60,Topic266,1364
2793,Topic109,Topic298,1354
34912,Topic295,Topic447,1339
12831,Topic158,Topic473,1330
60195,Topic9,Topic221,1325
40548,Topic340,Topic429,1312
50463,Topic48,Topic298,1289
14198,Topic166,Topic342,1287
16077,Topic176,Topic309,1268
7339,Topic13,Topic35,1263
25955,Topic232,Topic370,1245
50519,Topic48,Topic453,1233
28375,Topic248,Topic298,1211
50536,Topic48,Topic492,1192
6707,Topic127,Topic129,1179
51636,Topic52,Topic266,1165
50543,Topic48,Topic52,1161
47436,Topic418,Topic465,1150
50548,Topic48,Topic60,1140
41372,Topic35,Topic176,1139
1186,Topic102,Topic155,1121
57020,Topic75,Topic464,1117
19913,Topic197,Topic486,1108
51567,Topic52,Topic109,1106
53584,Topic60,Topic70,1103
21883,Topic208,Topic261,1097
2855,Topic109,Topic465,1089
24095,Topic22,Topic446,1085
57531,Topic78,Topic261,1084
50380,Topic48,Topic113,1078
6762,Topic127,Topic261,1077
7159,Topic129,Topic340,1076
7207,Topic129,Topic464,1074
26597,Topic237,Topic303,1066
26636,Topic237,Topic418,1055
6794,Topic127,Topic340,1048
51260,Topic50,Topic261,1045
50436,Topic48,Topic237,1042
14157,Topic166,Topic237,1031
14846,Topic17,Topic248,1028
51724,Topic52,Topic492,1028
50428,Topic48,Topic220,1025
26579,Topic237,Topic265,1022
30876,Topic265,Topic342,1015
6840,Topic127,Topic464,1007
30954,Topic266,Topic298,1007
56941,Topic75,Topic261,1007
22461,Topic210,Topic295,992
34921,Topic295,Topic465,990
50500,Topic48,Topic404,985
40725,Topic342,Topic473,976
14261,Topic166,Topic499,975
28447,Topic248,Topic492,975
48798,Topic44,Topic295,970
53284,Topic6,Topic261,969
30486,Topic261,Topic429,967
7191,Topic129,Topic429,962
59723,Topic87,Topic295,957
18990,Topic191,Topic248,956
53575,Topic60,Topic492,955
24291,Topic221,Topic298,950
3829,Topic113,Topic465,950
53458,Topic60,Topic197,947
40700,Topic342,Topic418,946
49501,Topic453,Topic465,942
60223,Topic9,Topic284,942
44465,Topic381,Topic395,940
6767,Topic127,Topic267,932
40721,Topic342,Topic465,932
24343,Topic221,Topic446,930
25060,Topic226,Topic303,928
41430,Topic35,Topic309,922
1222,Topic102,Topic237,920
2849,Topic109,Topic453,920
13740,Topic163,Topic261,918
1185,Topic102,Topic154,917
26593,Topic237,Topic295,917
52338,Topic55,Topic266,917
56949,Topic75,Topic274,916
31027,Topic266,Topic492,911
30944,Topic266,Topic276,909
50439,Topic48,Topic248,902
12290,Topic155,Topic295,902
14142,Topic166,Topic203,901
24074,Topic22,Topic391,901
30980,Topic266,Topic376,900
60337,Topic9,Topic89,898
30991,Topic266,Topic404,893
51627,Topic52,Topic248,893
1301,Topic102,Topic447,892
50477,Topic48,Topic342,890
24247,Topic220,Topic473,890
50429,Topic48,Topic221,888
60267,Topic9,Topic391,888
53289,Topic6,Topic267,888
60288,Topic9,Topic446,888
49706,Topic46,Topic261,888
51665,Topic52,Topic342,887
19084,Topic191,Topic492,886
12734,Topic158,Topic220,884
2758,Topic109,Topic220,883
40563,Topic340,Topic464,882
15204,Topic171,Topic232,881
15255,Topic171,Topic370,880
2766,Topic109,Topic237,879
26668,Topic237,Topic492,872
28389,Topic248,Topic342,869
9475,Topic14,Topic499,869
34869,Topic295,Topic322,867
18968,Topic191,Topic192,862
28444,Topic248,Topic486,859
50493,Topic48,Topic387,856
6737,Topic127,Topic197,847
14872,Topic17,Topic298,847
1074,Topic101,Topic266,847
40696,Topic342,Topic404,843
26661,Topic237,Topic473,843
18713,Topic19,Topic210,842
30968,Topic266,Topic342,841
22477,Topic210,Topic342,838
26621,Topic237,Topic376,834
48112,Topic429,Topic464,833
14825,Topic17,Topic197,832
14182,Topic166,Topic295,828
36233,Topic303,Topic391,826
24167,Topic220,Topic266,825
13745,Topic163,Topic267,825
30475,Topic261,Topic394,822
2870,Topic109,Topic499,821
55856,Topic70,Topic266,819
50544,Topic48,Topic55,817
34873,Topic295,Topic342,817
53419,Topic60,Topic113,817
32178,Topic274,Topic429,817
6743,Topic127,Topic210,813
53564,Topic60,Topic465,811
24322,Topic221,Topic391,809
51733,Topic52,Topic60,809
24155,Topic220,Topic237,809
50461,Topic48,Topic295,808
7190,Topic129,Topic422,803
26648,Topic237,Topic447,798
1176,Topic102,Topic137,796
6821,Topic127,Topic418,794
34879,Topic295,Topic360,793
38451,Topic322,Topic447,790
9573,Topic140,Topic298,788
14964,Topic17,Topic60,786
26595,Topic237,Topic298,783
36255,Topic303,Topic447,782
53525,Topic60,Topic370,781
7208,Topic129,Topic465,780
52869,Topic58,Topic340,780
9345,Topic14,Topic203,779
15217,Topic171,Topic266,778
53478,Topic60,Topic248,777
52780,Topic58,Topic129,773
26580,Topic237,Topic266,772
41368,Topic35,Topic166,771
9550,Topic140,Topic248,770
61956,Topic97,Topic381,770
9389,Topic14,Topic295,765
19843,Topic197,Topic298,764
50473,Topic48,Topic322,763
18823,Topic19,Topic465,762
7132,Topic129,Topic267,761
9646,Topic140,Topic492,760
22504,Topic210,Topic418,760
26657,Topic237,Topic465,758
34900,Topic295,Topic418,757
3689,Topic113,Topic127,756
8860,Topic137,Topic295,756
12099,Topic154,Topic166,755
3679,Topic112,Topic491,754
53502,Topic60,Topic298,751
19856,Topic197,Topic340,751
14257,Topic166,Topic492,746
52779,Topic58,Topic127,745
24258,Topic220,Topic499,743
35150,Topic298,Topic342,743
3068,Topic11,Topic89,742
21768,Topic207,Topic261,742
24014,Topic22,Topic237,741
53572,Topic60,Topic486,737
60311,Topic9,Topic493,737
19828,Topic197,Topic266,735
50419,Topic48,Topic197,734
53530,Topic60,Topic381,733
32146,Topic274,Topic340,732
40736,Topic342,Topic499,731
50529,Topic48,Topic473,729
2930,Topic11,Topic221,729
46559,Topic404,Topic492,726
19819,Topic197,Topic248,726
1251,Topic102,Topic303,726
1238,Topic102,Topic274,725
1007,Topic101,Topic109,725
30951,Topic266,Topic293,724
53539,Topic60,Topic404,724
59640,Topic87,Topic102,724
50301,Topic473,Topic492,723
6825,Topic127,Topic429,723
50535,Topic48,Topic491,722
12928,Topic159,Topic376,721
31004,Topic266,Topic442,718
36796,Topic309,Topic486,718
41582,Topic350,Topic486,716
51713,Topic52,Topic465,716
9297,Topic14,Topic102,716
24110,Topic22,Topic48,716
10537,Topic146,Topic266,715
24254,Topic220,Topic492,714
30831,Topic264,Topic465,713
26672,Topic237,Topic499,712
24196,Topic220,Topic342,712
41491,Topic35,Topic473,712
7255,Topic13,Topic166,711
34888,Topic295,Topic382,710
50305,Topic473,Topic499,709
45494,Topic394,Topic464,709
55827,Topic70,Topic197,708
60024,Topic89,Topic221,702
50391,Topic48,Topic140,701
31020,Topic266,Topic473,701
