,topic,label,totalcount,경항신문,동아일보,조선일보,중앙일보,한겨레
0,Topic48,때문 해야 문제 이유 지금,8273,1680,873,1811,2605,1304
1,Topic266,생각 있었다 다시 하지 많이,8075,1406,972,1878,2588,1231
2,Topic60,지난 됐다 에선 이후 하지,7245,1446,380,1903,2636,880
3,Topic465,거리 사회 두기 위험 경우,7198,1668,894,1254,2161,1221
4,Topic342,한다고 강조 밝혔다 상황 라며,6505,1275,826,1153,2394,857
5,Topic295,정부 경우 대상 방안 기준,6324,1599,686,1195,1682,1162
6,Topic197,코로나 신종 바이러스 감염증 사태,6302,432,144,4302,1252,172
7,Topic237,국민 협력 위기 극복 정부,5645,1280,789,1075,1527,974
8,Topic210,방역 확산 위해 운영 안전,5605,1303,722,1009,1771,800
9,Topic109,시대 만든다 사회 사람 세상,5523,1242,834,1076,1367,1004
10,Topic499,추진 탄핵 안철수 정권 아니다,5481,209,4509,341,290,132
11,Topic127,감염 집단 전파 사례 당국,5313,1075,798,1245,1475,720
12,Topic492,입장 대해 주장 대한 문제,5244,987,722,1225,1583,727
13,Topic298,세계 미국 팬데믹 전염병 대유행,5232,1079,593,1415,1452,693
14,Topic261,판정 확진 확진자 검사 받았다,4988,1100,438,1018,1612,820
15,Topic221,전망 가능성 예상 상황 영향,4960,984,644,1278,1433,621
16,Topic248,정부 국가 이란 대응 사태,4875,982,560,1237,1346,750
17,Topic447,계획 방식 도입 확보 위해,4774,1081,544,1020,1300,829
18,Topic14,클럽 손흥민 소득 대전 총회,4634,796,1039,965,1190,644
19,Topic203,추미애 추천 대통령 기사 뉴스,4581,5,4515,42,15,4
20,Topic486,중국 우한 신종 폐렴 코로나바이러스,4503,600,385,1804,1306,408
21,Topic418,사회 방역 대응 감염병 지역,4485,1153,588,758,1141,845
22,Topic113,결과 분석 비율 가장 인구,4448,846,494,1126,1340,642
23,Topic322,올해 지난해 내년 모바일 임대료,4385,844,569,966,1464,542
24,Topic166,회의 장관 경제부총리 논의 대책,4299,730,1171,714,1096,588
25,Topic70,당시 사실 지난달 출신 알려졌다,4253,679,396,1295,1402,481
26,Topic52,시위 비판 자유 언론 대한,4250,946,401,1007,1140,756
27,Topic267,조사 역학 파악 확인 결과,4231,1015,433,810,1236,737
28,Topic404,보고 아직 설명 판단 총괄,4216,801,432,1038,1318,627
29,Topic22,경제 정책 소비 경기 회복,4201,789,633,966,1183,630
30,Topic370,연기 예정 결정 일정 훈련,4158,785,452,1015,1357,549
31,Topic17,영국 유럽 이탈리아 독일 프랑스,4150,612,445,1158,1461,474
32,Topic9,감소 대비 이후 지난해 상승,4146,854,505,1000,1239,548
33,Topic303,회장 그룹 경영 분야 혁신,4116,737,713,820,1182,664
34,Topic140,한국 한국인 패션 국내 통화,4046,675,552,953,1296,570
35,Topic232,행사 취소 진행 예정 개최,4036,812,534,941,1226,523
36,Topic220,평가 변화 겨냥 전략 평화,3933,768,628,850,1057,630
37,Topic129,방역 본부 관리 중앙 대책,3896,749,557,750,1199,641
38,Topic340,확진자 신규 사망자 누적 기준,3883,872,377,1058,1063,513
39,Topic453,사람 얼굴 장갑 자주 에서는,3878,764,388,1110,1163,453
40,Topic274,대구 재난 경북 지역 대구시,3769,772,404,745,1121,727
41,Topic376,위해 운동 전달 사회 극복,3762,702,690,710,1102,558
42,Topic309,해임 도시 베이징 봉쇄 만에,3731,316,1952,540,585,338
43,Topic102,지원 원금 대상 특별 재원,3720,828,510,740,963,679
44,Topic35,위원장 상임 구성 제안 로봇,3678,508,1587,560,649,374
45,Topic429,추가 오전 됐다 전날 국내,3642,716,307,911,1183,525
46,Topic44,허용 출입 수용 법무부 배치,3641,773,408,870,1075,515
47,Topic75,병원 의료 진료 환자 병상,3555,659,405,632,1259,600
48,Topic464,환자 확진 발생 중증 격리,3501,517,570,665,1230,519
49,Topic13,메시지 날아온 출격 공수부대 대한,3487,25,3348,72,33,9
50,Topic491,정보 프로그램 활용 홈페이지 제공,3479,671,485,720,1125,478
51,Topic264,위기 유지 단계 강도 수준,3457,753,413,923,817,551
52,Topic58,서울 지역 수도권 경기 전북,3443,811,441,784,836,571
53,Topic391,기업 산업 수출 수입 국내,3403,647,537,756,968,495
54,Topic387,사용 효과 효율 누군지 둘째,3378,639,473,748,1023,495
55,Topic19,시설 생활 심사 입소 자동,3329,839,385,621,924,560
56,Topic430,센터 기본소득 무료 회원 장애인,3291,756,403,620,916,596
57,Topic191,미국 트럼프 대통령 도널드 워싱턴,3242,543,395,1014,966,324
58,Topic435,가구 어린이 건강 활동 아래,3218,701,381,754,950,432
59,Topic473,통합 국회 의원 민주당 대표,3184,613,487,786,835,463
60,Topic55,아파트 주택 택배 강남 홍보,3178,559,453,888,889,389
61,Topic6,방문 확진자 공개 동선 이동,3144,662,396,660,987,439
62,Topic176,즉각 전방 콜센터 좌석 ktx,3137,136,2640,121,146,94
