,node1,node2,weight
445,Topic1,Topic2,4573
730,Topic1,Topic74,3485
710,Topic1,Topic54,1824
25055,Topic2,Topic74,1703
31296,Topic23,Topic74,1656
54873,Topic64,Topic74,1560
525,Topic1,Topic28,1544
51993,Topic54,Topic74,1336
40529,Topic3,Topic74,1316
24868,Topic2,Topic28,1267
706,Topic1,Topic5,1252
751,Topic1,Topic94,1114
720,Topic1,Topic64,1111
371,Topic1,Topic124,1101
57617,Topic74,Topic134,1086
477,Topic1,Topic23,1064
357,Topic1,Topic111,1041
379,Topic1,Topic134,1033
40276,Topic3,Topic23,1019
403,Topic1,Topic156,1018
31287,Topic23,Topic64,999
57639,Topic74,Topic156,987
726,Topic1,Topic7,970
57645,Topic74,Topic162,963
374,Topic1,Topic128,920
521,Topic1,Topic275,914
540,Topic1,Topic3,902
57776,Topic74,Topic310,886
57610,Topic74,Topic124,846
54740,Topic64,Topic310,843
698,Topic1,Topic492,834
57591,Topic74,Topic105,820
2789,Topic105,Topic337,813
350,Topic1,Topic105,812
57613,Topic74,Topic128,810
57751,Topic74,Topic275,809
57630,Topic74,Topic147,780
38702,Topic28,Topic74,778
9933,Topic134,Topic275,776
410,Topic1,Topic162,772
25035,Topic2,Topic54,769
57565,Topic72,Topic74,764
57597,Topic74,Topic111,759
487,Topic1,Topic24,757
348,Topic1,Topic103,755
57592,Topic74,Topic106,749
57589,Topic74,Topic103,745
2680,Topic105,Topic198,738
57906,Topic74,Topic492,737
340,Topic0,Topic94,734
32,Topic0,Topic134,730
57646,Topic74,Topic164,727
729,Topic1,Topic72,726
367,Topic1,Topic120,718
2642,Topic105,Topic156,716
57615,Topic74,Topic131,708
539,Topic1,Topic299,704
387,Topic1,Topic141,698
732,Topic1,Topic76,692
33040,Topic24,Topic74,689
2620,Topic105,Topic134,689
30971,Topic23,Topic134,689
2895,Topic105,Topic494,687
57930,Topic74,Topic94,684
9973,Topic134,Topic337,683
544,Topic1,Topic308,680
56656,Topic7,Topic74,680
463,Topic1,Topic216,658
514,Topic1,Topic265,653
9822,Topic134,Topic156,647
565,Topic1,Topic337,646
2716,Topic105,Topic234,644
31134,Topic23,Topic310,642
707,Topic1,Topic50,638
2750,Topic105,Topic275,635
57768,Topic74,Topic299,632
718,Topic1,Topic62,631
57915,Topic74,Topic76,622
57792,Topic74,Topic337,621
392,Topic1,Topic146,610
31983,Topic234,Topic337,598
57697,Topic74,Topic216,598
30959,Topic23,Topic118,597
15795,Topic156,Topic275,590
19352,Topic172,Topic299,586
46568,Topic40,Topic74,585
324,Topic0,Topic74,576
719,Topic1,Topic63,574
4316,Topic111,Topic134,572
15836,Topic156,Topic337,568
351,Topic1,Topic106,568
2044,Topic103,Topic156,567
386,Topic1,Topic140,566
57644,Topic74,Topic161,564
57590,Topic74,Topic104,563
37954,Topic275,Topic337,563
43676,Topic337,Topic494,562
30993,Topic23,Topic156,561
51036,Topic50,Topic134,558
57737,Topic74,Topic256,557
1997,Topic103,Topic105,552
677,Topic1,Topic473,551
31001,Topic23,Topic164,550
30984,Topic23,Topic147,543
728,Topic1,Topic71,540
57715,Topic74,Topic234,537
363,Topic1,Topic117,537
57651,Topic74,Topic170,536
57619,Topic74,Topic136,534
51335,Topic50,Topic74,531
457,Topic1,Topic210,527
57624,Topic74,Topic141,525
57661,Topic74,Topic180,522
54530,Topic63,Topic74,520
169,Topic0,Topic275,519
590,Topic1,Topic38,518
505,Topic1,Topic256,518
57745,Topic74,Topic265,517
409,Topic1,Topic161,517
43833,Topic34,Topic164,516
30969,Topic23,Topic131,515
31278,Topic23,Topic54,515
427,Topic1,Topic181,515
57774,Topic74,Topic308,514
24716,Topic2,Topic124,514
30964,Topic23,Topic124,513
10082,Topic134,Topic492,509
504,Topic1,Topic255,507
441,Topic1,Topic195,505
56402,Topic7,Topic23,501
736,Topic1,Topic8,501
9316,Topic131,Topic136,500
57632,Topic74,Topic149,499
31295,Topic23,Topic72,498
30947,Topic23,Topic106,495
4308,Topic111,Topic124,495
430,Topic1,Topic184,495
41744,Topic31,Topic74,494
4448,Topic111,Topic275,492
31107,Topic23,Topic275,492
