,topic,label,totalcount,breitbart,cnn,fox,nyt,wp
0,Topic0,workout amazoncom exercise fitness body,1,0,0,0,1,0
1,Topic1,method sanitation sanitizing clean minute,766,165,187,70,105,237
2,Topic2,people virus wuhan government spread,1,0,0,0,1,0
3,Topic3,space shelter station metro transit,2056,322,392,122,439,781
4,Topic4,virginia maryland district county region,2193,132,114,42,108,1797
5,Topic5,state trump report president house,1,0,0,0,1,0
6,Topic6,health state official people wuhan,1,0,0,0,1,0
7,Topic7,summer year spring fall wave,3682,453,674,125,903,1525
8,Topic8,year street time living homeless,1,0,0,0,1,0
9,Topic9,people sars china outbreak wuhan,1,0,0,0,1,0
10,Topic10,korea north coronavirus chinese china,1,0,0,0,1,0
11,Topic11,trump president year health china,1,0,0,0,1,0
12,Topic12,biden campaign president trump democratic,2754,271,544,49,610,1278
13,Topic13,official people state health coronavirus,1,0,0,0,1,0
14,Topic14,virus people wuhan health coronavirus,1,0,0,0,1,0
15,Topic15,information data source share website,4527,727,986,287,693,1821
16,Topic16,trump president state report republican,1,0,0,0,1,0
17,Topic17,unproven guarantee editorial shaking division,1,0,0,0,1,0
18,Topic18,living homeless time street percent,1,0,0,0,1,0
19,Topic19,south korea north korean seoul,2107,352,438,147,428,734
20,Topic20,wuhan people virus chinese china,1,0,0,0,1,0
21,Topic21,program billion million money fund,4624,621,722,144,801,2330
22,Topic22,case outbreak country spread health,1,0,0,0,1,0
23,Topic23,unemployed avenue consistently norm oxford,2077,396,318,87,476,800
24,Topic24,video twitter facebook social medium,4259,830,1062,224,864,1274
25,Topic25,trump people percent coronavirus animal,1,0,0,0,1,0
26,Topic26,north korea tourist korean virus,1,0,0,0,1,0
27,Topic27,american state united country america,6224,1688,1070,330,1092,2032
28,Topic28,barber wine existence heat revive,1,0,0,0,1,0
29,Topic29,meal single barack academy predecessor,1,0,0,0,1,0
30,Topic30,quarantine people home isolation stay,4737,1297,969,341,698,1426
31,Topic31,threatens convicted somewhat peace eased,1,0,0,0,1,0
32,Topic32,china people coronavirus symptom chinese,1,0,0,0,1,0
33,Topic33,people coronavirus patient symptom touching,1,0,0,0,1,0
34,Topic34,leader session leadership expire hazard,2727,519,529,142,514,1021
35,Topic35,outlet reform morrison population determined,1,0,0,0,1,0
36,Topic36,virus coronavirus spread disease people,5932,1358,1210,753,621,1974
37,Topic37,reduce cooperation affordable mainstream coronaviruss,1,0,0,0,1,0
38,Topic38,march christian pastor catholic shelterinplace,3507,1251,658,238,483,867
39,Topic39,economy million month year pandemic,4905,397,1172,94,981,2259
40,Topic40,china people wuhan case virus,1,0,0,0,1,0
41,Topic41,trump china trade business year,1,0,0,0,1,0
42,Topic42,seat coalition bolsonaro parliament contest,2238,357,386,70,586,838
43,Topic43,wuhan people coronavirus virus health,1,0,0,0,1,0
44,Topic44,email newsletter address tip inbox,1065,68,62,44,122,769
45,Topic45,restaurant owner bar customer business,3543,516,644,186,832,1363
46,Topic46,bloomberg article opinion column visit,2369,107,64,24,321,1853
47,Topic47,bond real mortgage estate housing,1473,147,208,21,374,723
48,Topic48,people case wuhan china coronavirus,1,0,0,0,1,0
49,Topic49,overwhelm epidemiologist health official public,180,35,36,12,25,71
50,Topic50,wuhan china people chinese outbreak,1,0,0,0,1,0
51,Topic51,country coronavirus case government people,2977,520,585,149,622,1099
52,Topic52,house white president trump official,4576,761,1099,241,635,1827
53,Topic53,virus wuhan people health china,1,0,0,0,1,0
54,Topic54,coronavirus public government trust state,1,0,0,0,1,0
55,Topic55,people coronavirus china health illness,1,0,0,0,1,0
56,Topic56,biden virus case trump state,1,0,0,0,1,0
57,Topic57,patient coronavirus people symptom seat,1,0,0,0,1,0
58,Topic58,state governor federal local california,4873,856,1150,385,667,1805
59,Topic59,alliance landed technique hometown captured,896,158,185,51,219,280
60,Topic60,florida beach draft memorial williams,2854,537,552,166,490,1108
61,Topic61,demanding liquid mall terrible success,1,0,0,0,1,0
62,Topic62,york city cuomo andrew blasio,3235,563,552,277,888,952
63,Topic63,trump house president state iran,1,0,0,0,1,0
64,Topic64,monday tuesday weekend afternoon week,6443,1357,1334,398,1243,2104
65,Topic65,say nasa cnns cemetery mission,3710,546,1310,212,346,1288
66,Topic66,phased coordinating vladimir court gift,1,0,0,0,1,0
67,Topic67,denmark attempted norway switzerland cheese,1014,229,179,45,244,317
68,Topic68,money payment credit month financial,4405,559,841,103,835,2067
69,Topic69,anxiety feel fear stress feeling,3220,492,664,150,722,1189
70,Topic70,lockdown french france paris measure,2848,837,477,147,627,759
71,Topic71,insurance cost plan client refund,2118,326,422,83,410,877
72,Topic72,state texas carolina ohio georgia,3919,722,766,232,573,1623
73,Topic73,win flooding coordination opportunity chair,1,0,0,0,1,0
74,Topic74,medium news journalist time network,3829,915,482,252,722,1448
75,Topic75,coronavirus disease official virus wuhan,1,0,0,0,1,0
76,Topic76,trump report republican president percent,1,0,0,0,1,0
77,Topic77,scott peak correction rick combat,2589,550,478,217,382,954
78,Topic78,rico broken angela content supermarket,1,0,0,0,1,0
79,Topic79,wuhan coronavirus official outbreak chinese,3026,1580,383,290,301,455
80,Topic80,colleague biden report impeachment trial,1,0,0,0,1,0
81,Topic81,publicly additional symbol traditionally expire,1,0,0,0,1,0
82,Topic82,talent turned disproportionate existing organized,1,0,0,0,1,0
83,Topic83,people virus health coronavirus case,1,0,0,0,1,0
84,Topic84,reiterated ritual recorded selection place,1,0,0,0,1,0
85,Topic85,family mother woman home father,5081,608,1021,225,1373,1852
86,Topic86,test testing antibody kit result,3456,566,685,323,527,1348
87,Topic87,people virus wuhan china case,1,0,0,0,1,0
88,Topic88,police officer george black death,3294,622,574,116,746,1235
89,Topic89,trump state house president official,1,0,0,0,1,0
90,Topic90,workout amazoncom exercise originally body,1,0,0,0,1,0
91,Topic91,virus china chinese time outbreak,1,0,0,0,1,0
92,Topic92,emergency declared declaration gratitude spouse,2925,755,580,187,444,954
93,Topic93,gate foundation rolled roll entity,2498,501,459,161,431,933
94,Topic94,host live redistributed watch episode,3385,704,665,189,825,1001
95,Topic95,wuhan people quarantine china city,1,0,0,0,1,0
96,Topic96,ebola post emergency coronavirus disease,1,0,0,0,1,0
97,Topic97,coronavirus post story death case,6253,1,6,0,2,6244
98,Topic98,fargo involved hogan garcia defendant,1,0,0,0,1,0
99,Topic99,harder john robinson subscription confronting,1,0,0,0,1,0
100,Topic100,outbreak time virus quarantine kong,1,0,0,0,1,0
101,Topic101,university nursing professor college john,3819,587,717,305,713,1493
102,Topic102,influenza season virus people vaccine,1,0,0,0,1,0
103,Topic103,climate change energy environmental wind,1966,229,351,77,526,780
104,Topic104,home facility resident care staff,2877,683,609,207,415,961
105,Topic105,positive tested county test health,4023,909,841,469,431,1367
106,Topic106,people trump president coronavirus million,1,0,0,0,1,0
107,Topic107,wuhan china people state health,1,0,0,0,1,0
108,Topic108,area city town street mile,4200,550,757,144,1161,1588
109,Topic109,trump state impeachment iowa senator,1,0,0,0,1,0
110,Topic110,fed multiple fatality lobbying earth,1,0,0,0,1,0
111,Topic111,service human health secretary alex,2472,548,588,150,342,840
112,Topic112,post story news term signing,6133,8,5,0,2,6118
113,Topic113,trump state impeachment senator campaign,1,0,0,0,1,0
114,Topic114,military iran force troop defense,2249,453,350,115,505,825
115,Topic115,doubled examine urge preparation tweeted,1,0,0,0,1,0
116,Topic116,people coronavirus china disease health,1,0,0,0,1,0
117,Topic117,black city people community neighborhood,3685,448,647,105,905,1578
118,Topic118,going think people dont thats,11271,2448,2543,592,1986,3690
119,Topic119,real protesting couple persistent workout,1,0,0,0,1,0
120,Topic120,stimulus economic unemployment package business,3593,467,615,146,487,1871
121,Topic121,island pompeo mike rhode interior,1606,338,348,106,356,455
122,Topic122,fighting humanitarian renewed yemen syria,1879,467,383,115,340,571
123,Topic123,syria leave crack moved shower,1,0,0,0,1,0
124,Topic124,proximity hotspot chronic category possible,1,0,0,0,1,0
125,Topic125,protective equipment mask gear donation,3241,603,719,182,514,1218
126,Topic126,louisiana orleans collecting upcoming pandemic,739,127,179,63,117,250
127,Topic127,china chinese beijing world global,3480,1213,454,229,578,997
128,Topic128,people coronavirus wuhan china official,1,0,0,0,1,0
129,Topic129,week night house home friend,6941,640,1290,201,1960,2849
130,Topic130,vaccine immunity dos bright immune,1996,333,342,208,344,766
131,Topic131,covid rent smith statewide rental,2373,504,380,119,517,848
132,Topic132,chinese wuhan morning city post,1,0,0,0,1,0
133,Topic133,trump president administration donald coronavirus,7223,1652,1456,296,849,2959
134,Topic134,price saudi energy arabia barrel,1007,89,229,23,236,430
135,Topic135,score coordinator corona beef structure,1493,316,290,84,306,494
136,Topic136,pandemic crisis need coronavirus risk,9493,1741,1736,395,1428,4190
137,Topic137,stockpile amazing cream steven harry,1,0,0,0,1,0
138,Topic138,trump people today time city,1,0,0,0,1,0
139,Topic139,hotel room resort vega casino,1710,274,331,94,376,632
140,Topic140,abortion host watching postponing quality,1,0,0,0,1,0
141,Topic141,people year percent china wuhan,1,0,0,0,1,0
142,Topic142,people coronavirus virus symptom illness,1,0,0,0,1,0
143,Topic143,official agency department federal government,4729,620,955,193,718,2235
144,Topic144,flight airline passenger airport plane,1809,232,497,103,374,603
145,Topic145,sander campaign rally primary warren,1887,230,392,62,528,672
146,Topic146,feared flash shortly calculation news,1,0,0,0,1,0
147,Topic147,harsh overwhelm coming taiwan hotel,1,0,0,0,1,0
148,Topic148,paul brady oped offensive contributor,1616,402,194,201,241,574
149,Topic149,search investigator curbside regulator regulatory,1650,229,316,109,354,640
150,Topic150,trump president iran state thursday,1,0,0,0,1,0
151,Topic151,people question know problem answer,7735,1406,1411,388,1259,3261
152,Topic152,trump state president thursday house,1,0,0,0,1,0
153,Topic153,baby worship brown green faith,2655,622,515,198,474,846
154,Topic154,semester john flulike speed wasnt,1,0,0,0,1,0
155,Topic155,bryant valuable worth surpassed patriot,1,0,0,0,1,0
156,Topic156,virus people official city worker,1789,125,121,91,1113,337
157,Topic157,plastic bag waste removing charge,1157,221,231,96,249,360
158,Topic158,game team athlete olympic salary,1949,335,305,40,368,901
159,Topic159,virus chinese china coronavirus wuhan,1,0,0,0,1,0
160,Topic160,document anger broken furloughed frustration,1980,418,386,83,383,708
161,Topic161,church service religious bowser parade,1562,360,245,76,238,642
162,Topic162,johnson minister prime london british,2437,741,364,57,637,637
163,Topic163,security mexico kennedy homeland dallas,2545,624,463,143,422,890
164,Topic164,apartment minor studying routine zhang,1451,261,208,62,439,478
165,Topic165,coronavirus people wuhan disease spread,1,0,0,0,1,0
